date	revenue
02.11.2015	2140750.00
03.11.2015	2954450.00
05.11.2015	1332862.00
06.11.2015	2398800.00
07.11.2015	59850.00
09.11.2015	659450.00
10.11.2015	1547350.00
11.11.2015	2956650.00
12.11.2015	1614500.00
13.11.2015	2059930.00
14.11.2015	336100.00
16.11.2015	2509400.00
17.11.2015	1734150.00
18.11.2015	1608800.00
19.11.2015	1271350.00
20.11.2015	1939750.00
21.11.2015	371250.00
23.11.2015	2429250.00
24.11.2015	1763700.00
25.11.2015	1349800.00
26.11.2015	2229050.00
27.11.2015	4149212.90
30.11.2015	1495100.00
